.AXJO,.FTMIB,SIc1,USFFTARGET=,.HSI,IT10YT=RR,.BVSP,EURIBOR3MD=,USD3MFSR=X,.GSPTSE,.FTSES,US5YT=RR,.GDAXI,JPPRIME=,US2YT=RR,USDISC=,JP10YT=RR,.VIX,.SPX,GBBASE=,GBP=,CAD=,CA10YT=RR,.FCHI,NZD=,AUD=,.STOXX50,EU10YT=RR,US30YT=RR,.IBEX,CHF=,HGc1,.NDX,.IXIC,PLc1,GB10YT=RR,.DJI,FR10YT=RR,JPY=,.FTSE,EUR=,GCc1,TED,.TRXFLDUSP,CLc1,US10YT=RR
4717.5,21704.78,15.94,0.25,20467.74,4.08,66121.04,0.661,0.25219,11526.71,5352.07,2.355,5688.44,1.65,0.867,0.75,1.324,20.27,1105.24,0.5,1.5481,1.0428,3.432,3756.7,0.701,0.9001,2510.61,3.268,4.636,10570.5,1.0759,3.2355,1812.51,2235.9,1503.5,4.22,10374.16,3.555,91.12,5352.07,1.3597,1096.5,16,100.52,80,3.693
4718.3,21224.07,16.11,0.25,20399.57,4.031,66503.27,0.661,0.25194,11521.83,5315.09,2.328,5604.07,1.65,0.828,0.75,1.303,20.1,1102.94,0.5,1.5413,1.0555,3.451,3707.06,0.6917,0.8898,2477.82,3.166,4.581,10312.9,1.0836,3.1925,1812.91,2234.22,1529.3,4.168,10321.03,3.448,90.2,5315.09,1.3505,1107.8,15,99.26,78.17,3.634
4702.4,21346.31,16.5,0.25,20608.7,4.018,67227.93,0.659,0.25194,11631.44,5342.92,2.305,5615.51,1.65,0.816,0.75,1.309,19.5,1104.49,0.5,1.5402,1.0543,3.401,3715.68,0.6928,0.8928,2486.15,3.134,4.56,10254,1.0811,3.2685,1818.68,2238.26,1538,4.079,10325.26,3.422,90.2,5342.92,1.353,1118.3,14,100.19,79.66,3.619
4689.9,20843.23,16.449,0.25,21056.93,4.039,67779.16,0.658,0.25194,11629.63,5278.22,2.283,5532.33,1.65,0.804,0.75,1.319,19.26,1115.71,0.5,1.5267,1.0601,3.395,3640.77,0.6913,0.8883,2444.53,3.109,4.557,10126.2,1.0793,3.333,1846.4,2273.57,1542.1,4.023,10403.79,3.403,89.07,5278.22,1.3555,1117.8,14,99.99,78.7,3.608
4637.7,21068.32,17.044,0.25,20906.11,4,67641.34,0.656,0.25169,11728.06,5354.52,2.265,5598.46,1.65,0.792,0.75,1.304,19.06,1118.31,0.5,1.5247,1.0528,3.403,3708.8,0.6975,0.8948,2470.18,3.099,4.568,10333.6,1.0734,3.3955,1851.21,2280.79,1574.1,4.032,10405.98,3.423,88.85,5354.52,1.3625,1136.9,13,100.04,79.68,3.61
4686.5,21320.8,17.309,0.25,20876.79,3.985,67814.7,0.655,0.25169,11828.31,5405.94,2.268,5713.51,1.65,0.812,0.75,1.338,18.83,1118.79,0.5,1.4989,1.0418,3.392,3769.54,0.6989,0.9011,2496.06,3.104,4.583,10434.9,1.0791,3.419,1851.57,2280.68,1581.6,4.067,10396.76,3.416,89.09,5405.94,1.356,1142.7,13,101.18,80.87,3.621
4716.2,21431.41,17.156,0.25,20575.78,3.959,68846.5,0.655,0.25194,11852.85,5484.06,2.275,5776.56,1.65,0.859,0.75,1.337,18.72,1122.97,0.5,1.496,1.036,3.417,3811.92,0.6956,0.9032,2514.78,3.109,4.557,10521.5,1.0754,3.3605,1859.72,2292.31,1581.7,4.014,10444.14,3.413,88.74,5484.06,1.3604,1132.6,12,101.48,80.21,3.606
4745.7,21745.06,17.362,0.25,20787.97,3.967,68575.47,0.655,0.25194,11824.97,5533.21,2.345,5817.88,1.65,0.899,0.75,1.314,17.42,1138.7,0.5,1.5102,1.0311,3.419,3842.52,0.6938,0.9055,2532.66,3.138,4.646,10664.5,1.0671,3.4025,1888.56,2326.35,1577.2,4.028,10566.2,3.452,88.43,5533.21,1.3698,1134.8,12,101.55,81.5,3.685
4750.7,21844.56,17.252,0.25,21196.87,3.943,69576.38,0.654,0.25219,11975.14,5527.16,2.37,5795.32,1.65,0.895,0.75,1.322,17.79,1138.5,0.5,1.5031,1.0311,3.472,3828.41,0.6866,0.9005,2533.26,3.118,4.686,10745.3,1.0767,3.3965,1890.89,2332.21,1598.2,3.983,10552.52,3.425,89.07,5527.16,1.3579,1123.6,11,101.92,81.87,3.721
4780.4,22278.12,17.318,0.25,21207.55,3.948,69979.27,0.653,0.25363,11963.84,5599.76,2.335,5877.36,1.65,0.871,0.75,1.31,17.92,1140.45,0.5,1.5134,1.0299,3.513,3910.42,0.6965,0.9069,2576.68,3.148,4.674,11019.8,1.0742,3.398,1901.38,2340.68,1595,4.06,10564.38,3.449,90.29,5599.76,1.3621,1122,11,103.35,81.49,3.701
